"y","perimeter","area","irregularity","compactness","mean.R","mean.G","mean.B","sd.R","sd.G","sd.B","mean.H","mean.S","mean.V","sd.H","sd.S","sd.V","mean.L","mean.a","mean.b","sd.L","sd.a","sd.b"
"b",601,26252,1.0949056186145,0.913320731028311,0.316867136920287,0.275271053111173,0.292137443122914,0.1062254038529,0.0995159557695329,0.0980855786246563,275.823978247192,0.147212856391779,0.319632640500967,112.791503523981,0.0469621774318735,0.105460002841856,59.3472738454551,4.39924476401492,-0.99875786545359,8.77967751092054,1.40954170320958,2.17099895317699
"b",328,6215,1.37751612209159,0.72594431670362,0.540483018629817,0.272008581389112,0.151363715236698,0.103029301932238,0.105415039266547,0.0767273952734926,18.1872011519206,0.734739054685593,0.540483018629817,4.45593919109691,0.0987279446820644,0.103029301932238,62.3803744541477,16.6074248109076,26.9320469566035,8.96373606311171,5.49341177770513,4.76949060162235
"b",509,15068,1.36826459421261,0.730852792822183,0.432562969440497,0.208864650187126,0.208782408636404,0.105616734268615,0.102549621701798,0.0995166069858522,171.920291398467,0.559032216837737,0.432562969440497,176.529104337597,0.124403180234718,0.105616734268615,56.3382663934201,20.7520796705692,8.23769234867503,10.0130479299347,5.19259754781963,3.39447368964838
"b",613,16890,1.77044090617817,0.56483105225957,0.508845006326983,0.269989667862408,0.229798116996947,0.0875221374499685,0.0961623184634076,0.0745820526955556,62.833753426859,0.56213267459396,0.508845006326983,124.587835929706,0.0753236046188239,0.0875221374499685,62.4384165853232,17.3403128565362,12.392493002453,7.57612571773965,4.67923815117627,3.70766828340504
"b",325,4584,1.8336322932026,0.545365613218674,0.421746569482942,0.255393867843822,0.178802655442631,0.091361819224919,0.0931338039662155,0.0745024607261668,23.2029336654311,0.592072452833348,0.421746569482942,41.0449066860281,0.113618471954116,0.091361819224919,59.3204807864305,11.3911728632521,16.9571561954412,9.06524814581464,4.60642688170561,5.01874453675026
"b",470,10801,1.62750332973797,0.614438067024416,0.57452487151698,0.235078451341651,0.370667204017057,0.145870913073851,0.121998556505178,0.112833301169414,334.811454001603,0.61132782794186,0.575421665749903,10.8026067148664,0.139137612657767,0.144984470776258,61.5951221436657,31.851419753226,-6.57886526228498,11.026826804703,9.82496758311634,5.28359994723261
"b",1078,15553,5.94584366000135,0.168184711402212,0.634596944287906,0.488311819294682,0.520572917651597,0.0412731072817589,0.0816922674706441,0.105192997236258,276.121704414516,0.242369588841967,0.634596944287906,129.222791118181,0.114118620575108,0.0412731072817589,77.1320245371572,9.42360486186484,0.729806917329029,4.96709705923815,3.63601918169585,4.11440858071091
"b",487,16667,1.13237591342658,0.883098967527478,0.509967447709869,0.223893875063675,0.31719271496923,0.0977926181447336,0.0930579283573951,0.0943691508927053,339.880585836795,0.575729544725017,0.509967447709869,7.0378431423035,0.10907311755022,0.0977926181447336,60.0647445333969,27.174516094264,-2.93037076930062,8.04665145505878,5.86187210499967,3.31870118322723
"b",560,10280,2.42757734210206,0.411933322434988,0.468357747768368,0.280981918059052,0.222228580148013,0.0728808123587248,0.0865736304285949,0.0776099170228468,29.4907293974082,0.538665359859557,0.468357747768368,70.012561451551,0.105301689465926,0.0728808123587248,62.3888640575501,12.7618894344021,13.6863904538029,7.37175675932729,4.73849661505366,4.16477032301249
"b",666,15417,2.28948984685959,0.436778525736492,0.548094476812584,0.416251476915602,0.460996328219294,0.0651173452584675,0.0973325250451763,0.112668384033405,298.866484273803,0.253642894797499,0.548094476812584,98.9027931650374,0.13728004772,0.0651173452584675,72.2419274926383,10.1720770483862,-0.65462066278111,6.71216483499302,4.98562016139363,4.49072940078188
"b",545,22362,1.05699393998458,0.946079217837892,0.540841518612632,0.310906457207693,0.379659120602002,0.0928768897893218,0.0823397887748831,0.0710375620773352,341.470224742551,0.432773362190716,0.540841518612632,7.02666056179628,0.0600942387078796,0.0928768897893218,66.4121612510744,18.7062374145881,-1.55994165449871,6.23230134650187,2.79362647157732,2.55008165568754
"b",195,2755,1.09834241580205,0.910462880803669,0.575935375965268,0.348804668872994,0.353667129283655,0.112298989919673,0.10969490253535,0.111150746658725,197.04810861253,0.417853913979183,0.575935375965268,174.569550340163,0.103636504510507,0.112298989919673,68.47739636753,15.7119511542763,5.43867949309609,8.41263441786447,3.8453507073882,3.44469002475709
"b",405,11534,1.13167112626357,0.883648947819044,0.495341649751629,0.22435901358983,0.163953120696866,0.142383089183488,0.0949581875286531,0.066634996462859,14.8766634975325,0.669226447522093,0.495341649751629,41.0948040783059,0.0912796794598803,0.142383089183488,58.5867852519818,20.1961972361046,18.2941353567772,9.03998297766748,4.52009571755133,5.90301019035534
"b",777,21710,2.21295381478413,0.451884713236796,0.602718725445038,0.341848249202952,0.300441289366967,0.0664609561768788,0.0889097113894479,0.101258943811128,42.4823778778127,0.515876971266332,0.602718725445038,102.385469679469,0.121095391186284,0.0664609561768788,68.6007830752654,16.2573855146071,12.1370591371958,6.32439533797335,4.04601888138523,5.21800890110249
"b",521,5858,3.68736573129115,0.271196315438405,0.340579331766848,0.239241794361992,0.256973202391233,0.185418730200412,0.123632973520204,0.137814224129416,209.297386311194,0.25744522245223,0.342625134724426,146.206922328792,0.19183382854962,0.185523932990365,54.9726706277152,8.63810158787716,1.14321749780072,16.1977284946791,8.0530264528994,5.73071241303094
"b",521,10782,2.00339347559855,0.499153068121693,0.648402748225983,0.384149690297191,0.424725304701736,0.0659901688788797,0.120045774649033,0.131800597064789,319.349846546922,0.415366952539016,0.648402748225983,91.4582443654742,0.165194403197398,0.0659901688788797,71.8462086924694,18.405907903942,2.8391402030547,7.35425924099598,7.68373261240951,4.27805277126343
"b",1390,17835,8.62078120403283,0.115998768131616,0.669175503114057,0.573220754519918,0.648058180378964,0.0318598458810715,0.0451829259294381,0.0528597883442266,310.923708862221,0.145102952546462,0.669593935695949,14.4106863527555,0.0384883831286635,0.0318773670777922,81.7239731893172,6.9850840644907,-3.73842955903357,2.48311842535915,1.29670727038296,1.48732287018933
"b",382,5710,2.03367127108071,0.491721555110817,0.513027025170839,0.304100820713574,0.30581161361217,0.0467317442045473,0.0849823660057951,0.119189943603165,113.747530726021,0.443942707291503,0.513042134542083,153.32019914316,0.168007426016155,0.0467330051891967,65.204156070555,15.6409553432444,6.81037901351974,6.00298027900092,5.0461496266408,6.99082476693477
"b",630,13328,2.36977029236094,0.42198182803774,0.674105230327425,0.393078996304404,0.418555363321799,0.0820870788521335,0.0949290770999418,0.0963182655806167,276.145000692822,0.428424707967324,0.674106113033449,144.058972402611,0.0801051922961971,0.0820869777658423,72.7982961355198,18.0182976439724,4.13198396720726,5.98346764854364,3.55612961274929,3.40051915671646
"b",440,4761,3.23591650730844,0.309031459168203,0.643056533682576,0.417672181243848,0.442731177747301,0.0546027905263928,0.0969229257203288,0.123353712662908,229.048054323288,0.361850678129803,0.643160318107499,161.851891244081,0.111026139794807,0.0546303521918221,73.6488212782384,14.6100779334526,3.27177995788342,5.83876455734343,4.13006266807964,4.5597263199952
"b",964,19785,3.73773191800672,0.267541927012595,0.579049884295391,0.500949124658709,0.526832072227425,0.0486360683016082,0.0651551291619778,0.0821024332712403,256.151235543686,0.146790377929913,0.581698751777689,119.692785616104,0.107152017266108,0.0487956291026834,77.0999008858038,5.33412441103561,-0.350104951979894,3.74066440125017,3.04559583889973,3.65790457513553
"b",586,21177,1.29038982948445,0.774959610770901,0.574746186900883,0.396539901317282,0.413329111216664,0.0809715960642975,0.0900092251591064,0.0933957339332142,272.679338005289,0.321290623026954,0.574746186900883,146.002750070489,0.0751275053822814,0.0809715960642975,71.5004160874755,12.0021801528161,2.63830549989217,6.25476024046176,2.69829178042524,2.20379353832129
"b",459,16295,1.0288715116767,0.97193866158307,0.519216408257074,0.240941705924469,0.313989495153692,0.114677631473057,0.107916758217793,0.0950421005344723,342.620310563199,0.554073035144298,0.519394978611266,15.8427309519799,0.102675146400368,0.114753211073042,61.158320413527,25.2438036117525,-1.00900928975239,8.54373695485945,5.18473188965205,4.63028052720922
"b",357,6643,1.52673026811072,0.654994546769202,0.490957605381457,0.234336600815247,0.16289592760181,0.17316109506072,0.119846130181155,0.0799691446571656,21.0599961401679,0.674694858244206,0.490957605381457,56.9873220407167,0.0786851771097016,0.17316109506072,58.3216887426051,18.970112673823,18.8776750008244,12.1268976544096,4.32425685540172,6.277555229289
"b",255,5510,0.939115260848502,1.06483201976346,0.501962919469058,0.350615992313441,0.358212163268211,0.09218981007536,0.0802145660894573,0.0853403223850159,238.196665668099,0.311195574840366,0.501962919469058,163.623688706576,0.0776894908529928,0.09218981007536,67.8420011865258,10.7007449762988,3.15899261357185,5.9787476486545,2.67941968508421,2.3604457236142
"b",109,1019,0.927831147632389,1.07778231260264,0.342542669668456,0.191548807943197,0.190051761627124,0.150201877021101,0.10200785223617,0.0906079437170065,179.441065026715,0.460678727168668,0.342627335526949,171.201794668617,0.113243620346503,0.150070476511119,52.4923688160392,14.653712814266,5.23622243746579,11.5389296280679,4.51532958044039,4.1406832972947
"b",472,11841,1.49722045611793,0.667904312897816,0.53165885896627,0.309724437025887,0.288390454568788,0.0532794928866816,0.0723058336946913,0.0805832074069516,60.8124248435164,0.470287111848825,0.53165885896627,127.027480743407,0.0999734583979708,0.0532794928866816,65.7999130301224,15.2897489127066,9.03013210136835,5.51974933069564,3.42931471020948,3.61585616963847
